video_name,821_2,,,,,,,,,
cand,8.33,25,8.33,4.17,8.33,8.33,8.33,12.5,4.17,8.33
pinyin,4.17,20.83,20.83,20.83,20.83,20.83,20.83,4.17,20.83,20.83
start,394,655,928,1198,1463,1732,2001,2263,2536,2805
cand_change,396,661,930,1199,1465,1734,2003,2266,2537,2807
pinyin_change,395,660,933,1203,1468,1737,2006,2264,2541,2810
,,,,,,,,,,
video_name,821_3,,,,,,,,,
cand,20.83,8.33,8.33,4.17,8.33,8.33,8.33,4.17,8.33,8.33
pinyin,20.83,20.83,20.83,20.83,20.83,20.83,20.83,16.67,20.83,20.83
start,473,746,1019,1285,1554,1827,2092,2362,2627,2904
cand_change,478,748,1021,1286,1556,1829,2094,2363,2629,2906
pinyin_change,478,751,1024,1290,1559,1832,2097,2366,2632,2909
,,,,,,,,,,
video_name,821_4,,,,,,,,,
cand,20.83,20.83,8.33,8.33,8.33,20.83,8.33,8.33,4.17,8.33
pinyin,20.83,20.83,4.17,4.17,25,20.83,20.83,8.33,4.17,4.17
start,706,1104,1381,1654,1927,2201,2478,2755,3017,3290
cand_change,711,1109,1383,1656,1929,2206,2480,2757,3018,3292
pinyin_change,711,1109,1382,1655,1933,2206,2483,2757,3018,3291
,,,,,,,,,,
video_name,821_5,,,,,,,,,
cand,8.33,8.33,8.33,4.17,8.33,25,8.33,4.17,8.33,25
pinyin,4.17,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83
start,390,663,932,1198,1467,1736,2005,2279,2548,2813
cand_change,392,665,934,1199,1469,1742,2007,2280,2550,2819
pinyin_change,391,668,937,1203,1472,1741,2010,2284,2553,2818
,,,,,,,,,,
video_name,821_6,,,,,,,,,
cand,8.33,4.17,8.33,8.33,20.83,4.17,8.33,4.17,4.17,8.33
pinyin,25,20.83,20.83,8.33,20.83,20.83,20.83,20.83,20.83,20.83
start,416,690,959,1220,1486,1755,2024,2298,2571,2840
cand_change,418,691,961,1222,1491,1756,2026,2299,2572,2848
pinyin_change,422,695,964,1222,1491,1760,2029,2303,2576,2845
,,,,,,,,,,
video_name,821_7,,,,,,,,,
cand,8.33,25,25,8.33,8.33,12.5,8.33,8.33,8.33,8.33
pinyin,4.17,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83
start,430,695,973,1242,1515,1789,2058,2327,2600,2874
cand_change,432,701,979,1244,1517,1792,2060,2329,2602,2876
pinyin_change,431,700,978,1247,1520,1794,2063,2332,2605,2879
,,,,,,,,,,
video_name,821_8,,,,,,,,,
cand,8.33,4.17,4.17,8.33,25,4.17,8.33,8.33,4.17,4.17
pinyin,20.83,20.83,20.83,20.83,25,20.83,20.83,20.83,16.67,20.83
start,438,712,973,1250,1519,1793,2070,2339,2601,2866
cand_change,440,713,974,1252,1525,1794,2072,2341,2602,2867
pinyin_change,443,717,978,1255,1525,1798,2075,2344,2605,2871
,,,,,,,,,,
video_name,821_9,,,,,,,,,
cand,4.17,8.33,25,4.17,8.33,8.33,8.33,4.17,8.33,8.33
pinyin,8.33,20.83,20.83,20.83,4.17,20.83,8.33,4.17,4.17,25
start,396,669,934,1204,1473,1750,2019,2297,2566,2835
cand_change,397,671,940,1205,1475,1752,2021,2298,2568,2853
pinyin_change,398,674,939,1209,1474,1755,2021,2298,2567,2837
video_name,IMG_0182
cand,54.17,25.0,37.5,41.67,20.83,37.5,41.67,25.0,25.0,20.83
pinyin,70.83,20.83,20.83,25.0,20.83,37.5,20.83,20.83,20.83,20.83
start,380,649,922,1191,1461,1734,2011,2284,2553,2827
cand_change,393,655,931,1201,1466,1743,2021,2290,2559,2832
pinyin_change,397,654,927,1197,1466,1743,2016,2289,2558,2832

video_name,IMG_0183
cand,70.83,20.83,37.5,25.0,25.0,25.0,20.83,25.0,25.0,25.0
pinyin,33.33,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83
start,386,660,917,1190,1459,1728,2002,2275,2544,2813
cand_change,403,665,926,1196,1465,1734,2007,2281,2550,2819
pinyin_change,394,665,922,1195,1464,1733,2007,2280,2549,2818

video_name,IMG_0184
cand,54.17,37.5,25.0,25.0,41.67,4.17,25.0,25.0,25.0,37.5
pinyin,50.0,20.83,20.83,20.83,37.5,20.83,20.83,20.83,25.0,20.83
